,rent_time,rent_s_no,time,s_no
47488,2023-04-02 07:07:28,501205010,2023-04-02 07:11:56,501205025
47503,2023-04-02 07:08:33,501204013,2023-04-02 07:26:38,501203102
47552,2023-04-02 07:12:25,501205022,2023-04-02 07:45:44,501205022
47558,2023-04-02 07:12:38,501205006,2023-04-02 07:20:51,501205010
47561,2023-04-02 07:12:57,501205001,2023-04-02 07:24:58,501202042
47592,2023-04-02 07:15:36,501204009,2023-04-02 07:44:51,501204009
47626,2023-04-02 07:18:28,501205038,2023-04-02 07:30:28,501201017
47627,2023-04-02 07:18:32,501205039,2023-04-02 07:23:58,501203003
47628,2023-04-02 07:18:38,501204013,2023-04-02 07:40:34,501204013
47652,2023-04-02 07:20:22,501204024,2023-04-02 08:10:38,501204021
47659,2023-04-02 07:20:58,501205025,2023-04-02 07:26:29,501205020
47667,2023-04-02 07:21:33,501205025,2023-04-02 07:26:34,501205020
47675,2023-04-02 07:21:48,501205006,2023-04-02 07:41:28,501205006
47728,2023-04-02 07:25:51,501205010,2023-04-02 07:29:14,501205011
47731,2023-04-02 07:26:03,501205026,2023-04-02 07:32:47,501203001
47744,2023-04-02 07:26:59,501204020,2023-04-02 08:24:59,501204020
47762,2023-04-02 07:28:16,501204011,2023-04-02 07:38:37,501204024
47795,2023-04-02 07:30:10,501204009,2023-04-02 07:56:52,501204009
47806,2023-04-02 07:31:08,501204011,2023-04-02 07:44:28,501209060
47831,2023-04-02 07:33:16,501204022,2023-04-02 07:35:33,501204003
47836,2023-04-02 07:33:41,501205005,2023-04-02 07:39:09,501205025
47842,2023-04-02 07:33:55,501204003,2023-04-02 07:40:15,501204008
47870,2023-04-02 07:35:56,501205025,2023-04-02 07:42:01,501205020
47884,2023-04-02 07:36:25,501205036,2023-04-02 07:53:26,501202053
47892,2023-04-02 07:36:49,501205011,2023-04-02 08:04:23,501209005
47948,2023-04-02 07:40:24,501205023,2023-04-02 07:59:44,501203080
47967,2023-04-02 07:41:15,501204003,2023-04-02 08:29:38,501204003
47972,2023-04-02 07:41:52,501205025,2023-04-02 07:51:31,501202043
48017,2023-04-02 07:44:07,501205025,2023-04-02 07:48:01,501205001
48036,2023-04-02 07:44:45,501205020,2023-04-02 08:00:41,501204024
48054,2023-04-02 07:45:41,501205028,2023-04-02 07:48:09,501205013
48079,2023-04-02 07:46:44,501205008,2023-04-02 07:56:59,501203110
48089,2023-04-02 07:47:32,501204002,2023-04-02 08:44:04,501204003
48095,2023-04-02 07:48:12,501205031,2023-04-02 07:52:48,501205028
48105,2023-04-02 07:48:44,501204023,2023-04-02 07:54:30,501204002
48110,2023-04-02 07:49:23,501204011,2023-04-02 07:57:57,501205022
48127,2023-04-02 07:50:23,501205011,2023-04-02 08:03:56,501205035
48151,2023-04-02 07:51:19,501204017,2023-04-02 08:07:37,501205034
48153,2023-04-02 07:51:31,501205010,2023-04-02 07:56:06,501205025
48187,2023-04-02 07:53:06,501205034,2023-04-02 07:58:54,501205025
48203,2023-04-02 07:54:23,501204009,2023-04-02 08:55:12,501208011
48217,2023-04-02 07:55:08,501204009,2023-04-02 08:55:36,501208011
48220,2023-04-02 07:55:12,501205028,2023-04-02 07:58:30,501205008
48284,2023-04-02 07:59:27,501205015,2023-04-02 08:10:35,501203022
48287,2023-04-02 07:59:34,501205015,2023-04-02 08:10:37,501203022
48303,2023-04-02 08:00:16,501205010,2023-04-02 08:10:40,501205028
48311,2023-04-02 08:00:39,501205010,2023-04-02 08:10:35,501205028
48323,2023-04-02 08:01:17,501205010,2023-04-02 08:10:38,501205028
48334,2023-04-02 08:01:48,501205010,2023-04-02 08:10:48,501205028
48361,2023-04-02 08:02:55,501204015,2023-04-02 08:06:36,501209023
48364,2023-04-02 08:03:11,501205026,2023-04-02 08:28:45,501205037
48367,2023-04-02 08:03:14,501205026,2023-04-02 08:08:40,501201005
48388,2023-04-02 08:04:37,501204012,2023-04-02 08:06:36,501204003
48395,2023-04-02 08:04:58,501205037,2023-04-02 08:50:52,501208062
48402,2023-04-02 08:05:40,501204016,2023-04-02 09:03:33,501209062
48433,2023-04-02 08:07:24,501205039,2023-04-02 08:17:08,501209065
48462,2023-04-02 08:08:29,501205034,2023-04-02 08:16:34,501204012
48466,2023-04-02 08:08:40,501204020,2023-04-02 08:14:20,501209045
48493,2023-04-02 08:10:29,501205006,2023-04-02 08:40:28,501205039
48502,2023-04-02 08:10:49,501205019,2023-04-02 08:33:22,501203013
48506,2023-04-02 08:10:56,501204017,2023-04-02 08:24:43,501205021
48510,2023-04-02 08:11:07,501204012,2023-04-02 08:14:37,501204003
48524,2023-04-02 08:11:31,501204017,2023-04-02 08:26:28,501209045
48527,2023-04-02 08:11:34,501204012,2023-04-02 08:32:36,501204012
48528,2023-04-02 08:11:34,501204012,2023-04-02 08:11:49,501204012
48532,2023-04-02 08:11:39,501205034,2023-04-02 08:23:21,501202035
48539,2023-04-02 08:11:54,501205031,2023-04-02 08:19:26,501201016
48542,2023-04-02 08:12:04,501205034,2023-04-02 08:23:23,501202035
48549,2023-04-02 08:12:20,501204012,2023-04-02 08:20:26,501204020
48552,2023-04-02 08:12:25,501205005,2023-04-02 08:22:51,501205005
48558,2023-04-02 08:12:31,501205012,2023-04-02 08:26:12,501202072
48582,2023-04-02 08:14:05,501204003,2023-04-02 09:06:07,501204016
48594,2023-04-02 08:14:58,501205025,2023-04-02 08:18:22,501205020
48595,2023-04-02 08:14:59,501205025,2023-04-02 08:18:09,501205020
48607,2023-04-02 08:15:30,501204003,2023-04-02 08:24:58,501204003
48610,2023-04-02 08:15:38,501204021,2023-04-02 08:41:08,501208059
48624,2023-04-02 08:16:21,501205035,2023-04-02 08:24:15,501205005
48632,2023-04-02 08:16:49,501205035,2023-04-02 08:24:12,501205005
48684,2023-04-02 08:19:52,501205018,2023-04-02 08:26:04,501205010
48697,2023-04-02 08:20:18,501204024,2023-04-02 09:00:49,501204024
48715,2023-04-02 08:21:03,501204018,2023-04-02 09:25:31,501204018
48727,2023-04-02 08:21:28,501204024,2023-04-02 09:00:53,501204024
48751,2023-04-02 08:22:36,501204014,2023-04-02 08:33:25,501201017
48753,2023-04-02 08:22:38,501205021,2023-04-02 08:53:46,501209075
48755,2023-04-02 08:22:41,501205021,2023-04-02 08:53:35,501209075
48788,2023-04-02 08:23:40,501205008,2023-04-02 08:33:59,501201007
48800,2023-04-02 08:24:03,501205034,2023-04-02 08:26:59,501202050
48814,2023-04-02 08:24:40,501205021,2023-04-02 08:27:35,501205025
48831,2023-04-02 08:25:34,501204023,2023-04-02 08:54:01,501204013
48832,2023-04-02 08:25:36,501205037,2023-04-02 08:33:03,501202043
48864,2023-04-02 08:26:53,501205023,2023-04-02 09:35:18,501207067
48878,2023-04-02 08:27:25,501204024,2023-04-02 08:36:29,501202085
48892,2023-04-02 08:27:58,501205025,2023-04-02 08:45:12,501204021
48910,2023-04-02 08:28:33,501205018,2023-04-02 08:49:50,501202043
48970,2023-04-02 08:31:40,501204013,2023-04-02 09:22:07,501204013
48974,2023-04-02 08:31:55,501205037,2023-04-02 08:37:52,501202043
48995,2023-04-02 08:33:02,501205004,2023-04-02 08:46:06,501205004
48996,2023-04-02 08:33:02,501205023,2023-04-02 08:38:55,501205023
49005,2023-04-02 08:33:18,501205020,2023-04-02 08:46:45,501203002
49011,2023-04-02 08:33:32,501205021,2023-04-02 08:43:46,501201013
49013,2023-04-02 08:33:35,501205005,2023-04-02 08:50:19,501204008
49049,2023-04-02 08:35:18,501205004,2023-04-02 09:42:58,501205038
49055,2023-04-02 08:35:28,501205004,2023-04-02 09:42:56,501205038
49056,2023-04-02 08:35:32,501204009,2023-04-02 08:45:22,501204009
49069,2023-04-02 08:35:53,501204009,2023-04-02 08:45:21,501204009
49077,2023-04-02 08:36:25,501204009,2023-04-02 08:45:23,501204009
49085,2023-04-02 08:36:38,501204009,2023-04-02 09:23:27,501204009
49098,2023-04-02 08:36:59,501205023,2023-04-02 08:50:30,501205035
49120,2023-04-02 08:37:55,501204013,2023-04-02 09:00:07,501204013
49157,2023-04-02 08:39:16,501205036,2023-04-02 08:42:09,501205036
49159,2023-04-02 08:39:19,501205036,2023-04-02 08:42:00,501205036
49160,2023-04-02 08:39:26,501205014,2023-04-02 09:30:32,501205014
49168,2023-04-02 08:39:46,501205005,2023-04-02 09:45:29,501211002
49170,2023-04-02 08:39:54,501205023,2023-04-02 09:08:22,501202020
49175,2023-04-02 08:40:00,501205014,2023-04-02 09:31:14,501205014
49229,2023-04-02 08:42:12,501205003,2023-04-02 08:48:17,501205001
49231,2023-04-02 08:42:17,501205005,2023-04-02 09:45:16,501211002
49245,2023-04-02 08:42:48,501204013,2023-04-02 08:56:18,501204021
49246,2023-04-02 08:42:52,501205028,2023-04-02 08:47:16,501205030
49247,2023-04-02 08:42:52,501205028,2023-04-02 08:47:18,501205030
49256,2023-04-02 08:43:11,501205029,2023-04-02 08:45:19,501205028
49262,2023-04-02 08:43:20,501205035,2023-04-02 09:26:47,501205035
49272,2023-04-02 08:43:50,501205023,2023-04-02 08:58:40,501204012
